INPUT,,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
Difenoxuron,89,286.13174,45.9198,3.79E+02,1.57E-05,1.199,8.71E-01,1.82E-05,223.494,114.121,0.633,0.0074645,-,-,-,-,4.73E-09,7.93E-06,1.67E-11,19.5306,4.28644,3.47E+02,5.13E-10,0.473295,10.6566,1619.13,2.5416,1.37E+02,4.41E-08,6.96E-05
Diflubenzuron,68,310.03206,29.7852,4.15E+02,1.51E-06,1.501,8.72E-01,4.76E-06,246.27,203.265,0.326,0.0059156,-,-,-,-,4.52E-09,1.22E-06,1.06E-11,158.674,3.5341,2.63E+02,7.99E-11,0.259159,9.39837,6742.19,3.87716,2.39E+02,8.96E-10,4.02E-07
Diflufenican,52.4,394.07407,126.183,4.03E+02,3.03E-06,1.509,9.95E-01,2.46E-07,255.453,126.112,0.297,0.0057412,-,-,-,-,4.48E-08,2.04E-07,1.06E-11,55.1906,3.54608,3.56E+02,3.24E-07,0.508235,10.569,1199.7,4.90107,1.60E+02,3.17E-08,1.27E-07
Dimethametryn,69.2,255.15177,9.12011,-,4.21E-05,1.121,5.84E-01,2.35E-05,191.148,79.293,0.521,0.0102802,-,-,-,-,6.14E-07,3.00E-04,1.62E-11,14.9319,3.35337,3.35E+02,3.92E-09,0.177026,9.18434,607.633,3.89859,6.53E+01,1.41E-06,0.0001936
Dimethenamid,56.1,275.07468,17.8238,337.241,0.0001517,1.234,0.711,-,165.954,65.396,0.443,-,-,-,3.61E-05,4.81E+01,1.08E-05,7.66E-04,1.17E-11,62.9913,3.34898,2.94E+02,8.11E-08,0.195804,8.64846,236.886,2.14996,1.51238,0.0002721,0.0045361
Dimethoate,84.2,228.99962,3.70681,-,2.82E-07,1.255,7.24E-01,4.54E-05,136.293,32.048,0.366,0.0004656,-,-,-,-,2.48E-05,1.71E-02,1.43E-11,1.58793,82.443,3.09E+02,2.06E-08,0.0977548,9.91783,15.8484,0.780537,5.19E+01,1.87E-05,0.139206
"2,6-Dimethylaniline",34,121.08915,8.41395,2.20E+02,2.27E-05,0.996,0.693,0.0004819,96.558,23.615,0.701,0.0066069,-,154.72,0.001766,3.31131,0.0826038,3.16E-02,2.54E-11,5.45771,11.4211,2.15E+02,1.95E-06,0.11139,6.47551,72.7217,1.83911,10.6694,0.128292,0.0675157
Diniconazole,60.1,325.07487,161.436,4.13E+02,3.84E-05,1.328,6.61E-01,1.92E-06,245.149,140.276,0.31,0.0026122,-,-,-,-,5.11E-08,1.78E-05,2.89E-11,337.804,3.44852,3.26E+02,1.00E-09,2.12152,10.9963,626.879,4.29719,1.47E+02,3.62E-05,1.24E-05
"2,4-Dinitrophenol",0,184.01202,2.68534,3.26E+02,3.57E-05,1.611,5.54E-01,3.94E-05,136.415,108.365,0.134,0.0002529,-,1.40E+02,6.08E-05,1.01E+01,5.85E-05,5.58E-03,8.61E-13,3.72842,4.59405,3.50E+02,8.62E-08,0.134401,7.33762,221.923,1.67226,115.365,0.0003874,0.0025245
Diphenylamine,41.7,169.08915,72.277,2.93E+02,3.19E-05,1.059,5.27E-01,3.14E-05,137.202,41.34,0.186,0.0103039,-,147.634,0.0001138,10.6414,0.0007129,5.57E-04,1.93E-10,150.969,6.65386,3.02E+02,7.36E-08,2.22983,7.65602,604.842,3.49877,52.8997,0.000667,0.0002587
Diuron,78.4,232.01702,22.9087,2.98E+02,1.79E-05,1.366,7.59E-01,8.41E-05,157.137,140.46,0.027,0.0047098,-,-,-,1.32E+01,8.28E-07,2.72E-04,1.20E-11,14.1888,4.50986,3.23E+02,1.53E-09,0.0356043,9.95684,250.231,2.6782,1.58E+02,6.92E-08,0.0001738
DNOC,83.5,198.02767,3.16228,3.41E+02,3.27E-05,1.556,6.28E-01,2.58E-05,147.554,101.582,0.197,0.0002642,-,1.41E+02,5.69E-05,1.12E+01,3.56E-05,3.07E-03,1.57E-12,2.88959,4.5758,3.78E+02,1.38E-06,0.104662,7.71437,256.986,2.13076,86.7071,0.0001202,0.0080726
Edifenphos,26.6,310.02511,20.1372,-,5.33E-08,1.246,2.74E-01,2.17E-06,192.307,40.809,0.325,0.0007362,-,-,-,-,1.11E-06,5.12E-04,1.80E-11,32.5813,141.362,4.01E+02,9.46E-06,0.0913376,11.5312,724.017,3.48075,1.16E+02,2.70E-07,0.0002878
EPN,32.7,323.03812,95.0605,-,2.95E-08,1.36,6.37E-01,2.83E-06,202.786,49.027,2.61E-01,7.46E-05,-,-,-,-,1.88E-06,1.75E-05,1.56E-11,932.452,6.30009,3.99E+02,1.31E-06,1.04751,10.4211,1320.36,4.77624,3.61E+01,9.48E-07,5.22E-06
Ethiofencarb,25.2,225.08235,6.4121,3.26E+02,1.41E-05,1.113,3.85E-01,1.68E-05,160.844,71.868,0.536,0.0007551,-,-,-,3.61E+01,5.77E-06,2.47E-03,1.42E-11,7.47265,3.52829,2.91E+02,3.09E-09,0.0953524,9.59837,123.851,2.0415,3.41E+01,6.99E-06,0.0081781
Ethion,27.2,383.98762,58.3445,-,3.66E-10,1.306,-,2.66E-06,207.744,-5.631,3.38E-01,7.55E-05,-,-,-,-,5.61E-06,1.51E-05,1.86E-11,241.367,478.493,3.95E+02,4.51E-07,0.983469,11.6965,11468.5,5.066,-1.30E+01,1.50E-06,4.52E-06
Ethiprole,71.5,395.98262,176.604,-,7.59E-07,1.724,8.80E-01,2.18E-06,280.887,188.672,-,-,-,-,-,-,-,1.52E-04,1.37E-11,9.75425,3.54322,3.36E+02,5.62E-08,0.705513,10.3843,922.486,2.83261,1.80E+02,1.35E-09,1.96E-05
Etoprofos,64.2,242.05641,33.4965,-,1.16E-07,1.125,4.77E-01,3.90E-06,135.745,-13.497,-0.038,0.0001291,-,-,-,-,0.000235,2.95E-03,4.25E-11,20.3949,140.677,2.86E+02,1.48E-05,0.105491,8.6381,71.004,3.58788,-12.909,0.0003804,0.003702
Etrimphos,53.1,292.06467,46.9894,-,2.37E-08,1.225,6.22E-01,1.83E-05,172.552,2.597,0.221,0.000811,-,-,-,-,7.80E-05,1.49E-04,9.17E-12,18.097,4.73298,3.49E+02,3.19E-07,2.38124,8.90017,206.734,0.42157,-3.29E+00,7.99E-05,0.0001376
Famphur,43.6,325.02075,18.1552,-,-,1.337,0.831,-,195.36,23.662,0.727,0.0001879,-,-,-,-,5.82E-05,4.84E-04,1.62E-11,1.69003,4.22802,3.63E+02,3.70E-07,0.349907,9.67722,158.693,2.23026,5.30E+01,9.62E-06,0.0003094
Fenamiphos,61,303.1058,-,-,1.04E-07,1.124,0.809,-,167.368,35.867,3.00E-01,4.99E-05,-,-,-,-,1.32E-06,4.05E-04,1.66E-11,2.3394,5.11766,3.21E+02,1.33E-07,1.00904,11.2506,323.068,3.2298,4.90E+01,9.98E-07,0.0011082
Fenarimol,68.9,330.03267,234.963,4.01E+02,2.12E-05,1.423,8.45E-01,4.38E-06,241.348,160.28,0.192,0.0075336,-,1.36E+02,7.96E-06,-,2.68E-08,2.12E-05,1.42E-11,145.735,25.8118,3.53E+02,5.34E-10,3.70757,10.6823,603.316,3.59023,1.18E+02,2.23E-07,4.20E-05
Fenazaquin,74.2,306.17321,387.258,3.77E+02,4.80E-06,1.125,6.90E-01,2.10E-06,198.427,105.84,0.139,0.0017418,42.812,1.27E+02,4.35E-06,-,5.53E-08,2.29E-06,1.74E-11,345.288,18.6288,3.53E+02,1.35E-06,3.53741,10.319,1942.91,5.50625,7.86E+01,2.55E-08,4.89E-07
Fenbendazol,15.8,299.07285,-,493.599,-,1.398,0.96,-,290.12,238.684,0.819,-,-,-,-,-,-,1.40E-05,1.51E-11,14.1811,5.24022,2.95E+02,2.39E-09,1.05009,9.489,2671.5,2.63521,2.45E+02,2.96E-10,3.34E-08
Fenhexamid,80.2,301.06363,44.8745,4.14E+02,8.09E-06,1.375,8.74E-01,1.24E-06,223.926,168.026,0.396,0.004102,-,1.50E+02,7.64E-06,1.04E+02,3.78E-09,1.83E-05,1.70E-11,95.8645,6.36354,3.33E+02,1.59E-10,0.707635,9.2171,4716.54,3.51253,2.21E+02,3.44E-08,6.66E-05
Fenitrothion,76.8,277.01738,57.1479,-,1.43E-08,1.341,7.13E-01,7.08E-06,165.266,21.824,0.548,0.0001122,-,-,-,-,1.60E-05,6.21E-05,1.60E-11,89.0529,4.30509,3.53E+02,9.23E-07,1.07095,8.86578,427.929,3.30116,3.51E+00,5.28E-05,0.0001046
Fenobucarb,121.9,207.12593,6.99842,3.00E+02,4.30E-06,1.037,9.16E-01,1.77E-05,127.855,69.832,0.632,0.0004592,-,-,9.73E-05,3.44E+01,3.43E-05,9.55E-04,1.41E-11,25.6839,3.5425,2.80E+02,1.32E-08,0.301556,9.25006,51.5634,2.78096,32.6894,0.0001415,0.0023399
Fenoxycarb,69.5,301.13141,21.2814,3.87E+02,3.76E-06,1.199,8.58E-01,2.64E-06,237.462,73.721,0.632,0.0067143,-,-,-,-,2.62E-08,1.80E-05,1.67E-11,18.2541,5.14604,3.15E+02,4.86E-10,0.445006,10.9359,1000.64,4.29686,5.34E+01,3.24E-08,2.08E-05
Fenpropidine,55,273.24565,690.24,3.14E+02,4.83E-06,0.922,6.59E-01,6.14E-06,150.787,74.233,-0.09,0.0041879,36.325,1.33E+02,4.38E-06,1.30E+01,3.44E-05,3.82E-05,1.97E-11,330.139,5.27703,3.15E+02,2.38E-06,5.62594,8.86331,1969.43,5.83658,26.0569,0.0001283,0.0019293
Fenpropimorphe,39.6,303.25621,632.412,3.13E+02,7.08E-06,0.918,4.58E-01,1.64E-05,159.02,51.245,-0.043,0.0058345,34.163,1.31E+02,4.24E-06,1.58E+01,1.92E-05,1.99E-05,2.31E-11,241.809,12.6434,3.16E+02,7.34E-07,2.35606,8.85004,1594.18,4.93207,1.32E+02,3.01E-08,1.42E-05
Fensulfothion,66.7,308.03059,17.8238,-,1.15E-07,1.37,5.99E-01,2.80E-05,200.932,59.147,4.04E-01,3.01E-05,-,-,-,-,-,1.57E-03,1.99E-11,2.58786,4.80119,3.66E+02,4.30E-07,0.502008,10.4407,331.773,2.23036,5.97E+01,4.99E-05,0.0054959
Fenthion,27.3,278.02002,130.317,-,2.32E-08,1.212,5.88E-01,5.52E-06,158.349,0.763,0.214,0.0002965,-,-,-,-,6.59E-05,2.12E-05,1.70E-11,330.472,4.54476,3.61E+02,1.09E-06,0.437374,9.42604,1511.89,4.08976,7.51E+00,1.06E-05,2.32E-05
Fenuron,69.1,164.09496,3.40408,254.096,0.0001671,1.128,0.8,0.0014028,128.903,99.676,0.004,0.0129122,-,-,-,5.92E+00,8.11E-06,6.92E-03,1.73E-11,5.4148,3.81747,3.09E+02,1.88E-09,0.1086,9.29205,25.1736,0.981261,1.34E+02,3.71E-05,0.0244339
Fluazifop,84.9,327.07184,17.1396,3.55E+02,1.64E-05,1.415,1.00E+00,2.11E-06,233.577,84.518,0.054,-,-,-,-,-,9.08E-08,1.88E-05,1.05E-11,3.75041,3.54854,3.27E+02,8.35E-09,0.427486,10.0243,724.103,3.18152,1.49E+02,1.77E-08,0.0001233
Fluazifop-p-butyl,16.1,383.13444,158.855,3.82E+02,1.94E-06,1.325,8.69E-01,4.36E-07,218.802,37.67,0.24,0.0048195,-,-,-,-,3.95E-07,4.00E-06,1.33E-11,46.8316,5.13994,3.54E+02,3.50E-08,3.50237,9.86272,4174.76,4.49985,9.15E+00,4.12E-07,2.76E-06
Flufenacet,58.2,363.06646,51.9996,3.62E+02,1.18E-05,1.491,0.742,-,222.939,74.634,0.556,0.0039995,-,-,-,-,1.51E-07,3.64E-05,1.39E-11,10.9572,3.54132,3.50E+02,8.13E-09,0.528039,9.29082,1766.01,3.19999,7.60E+01,6.76E-07,0.0001539
Flufenoxuron,31.3,488.03624,44.3609,4.83E+02,1.05E-06,1.652,1.05E+00,3.30E-08,318.019,201.871,0.5,0.0023988,-,-,-,-,3.74E-10,1.29E-08,1.38E-11,93.8325,3.54564,2.54E+02,1.21E-11,0.398552,9.60212,62356.9,5.72211,1.94E+02,2.22E-10,6.06E-09
Fluometuron,67.5,232.08235,28.774,2.81E+02,9.66E-05,1.272,0.851,0.0001279,139.364,90.907,0.047,0.0031915,-,-,-,-,8.07E-07,6.17E-04,1.02E-11,10.1565,4.49092,3.03E+02,9.18E-09,0.0861968,9.21809,79.5767,2.42095,1.64E+02,9.40E-07,0.0003889
Fluquinconazole,109.6,375.00899,71.1214,-,1.85E-05,1.593,0.92,-,292.132,179.576,0.622,0.0044056,-,-,-,-,2.21E-09,5.69E-06,1.38E-11,83.2024,3.35679,3.28E+02,2.07E-11,0.949324,11.7056,716.036,3.23757,1.92E+02,4.83E-11,2.87E-06
Fluroxypyr,97.1,253.96613,4.77529,3.46E+02,8.97E-05,1.654,5.05E-01,9.00E-05,214.024,190.058,0.117,0.0013002,-,145.37,0.0001774,4.40E+01,1.75E-07,9.33E-04,4.50E-12,4.73499,3.54501,3.06E+02,9.30E-09,0.181554,8.13707,106.644,1.67697,2.32E+02,2.85E-11,0.0030304
Flutolanil,56.9,323.11331,63.8263,3.97E+02,1.01E-05,1.303,9.39E-01,1.68E-06,209.38,120.327,0.17,0.0064269,-,-,2.36E-05,-,4.39E-07,8.57E-06,1.37E-11,19.54,3.54291,3.22E+02,2.13E-10,0.245715,10.761,1573.6,3.70202,1.05E+02,4.89E-08,2.44E-05
Flutriafol,77.5,301.10267,72.778,3.90E+02,3.63E-05,1.412,5.41E-01,1.53E-05,244.451,119.283,0.701,0.0014322,-,-,-,-,2.64E-08,5.21E-05,1.61E-11,21.8752,3.54072,3.25E+02,5.12E-09,0.867538,10.4119,75.8068,2.29094,1.30E+02,5.44E-11,0.0003948
Fosthiazate,73.4,283.04657,9.33254,-,7.76E-07,1.359,0.483,-,175.787,42.255,0.293,0.0002404,-,-,-,-,2.50E-05,2.92E-03,1.89E-11,3.62256,4.19589,3.08E+02,1.75E-10,0.499461,9.81958,230.851,1.6808,8.96E+01,4.23E-06,0.0327672
Fuberidazol,73.4,184.06366,30.5492,3.60E+02,2.86E-05,1.276,5.45E-01,1.82E-05,170.895,211.479,0.854,0.0075509,-,-,0.0001274,-,4.50E-07,2.06E-04,4.31E-11,7.3161,3.36124,3.26E+02,1.41E-07,0.127628,9.38301,4991.96,2.66885,1.31E+02,4.86E-07,0.0003922
Furmecyclox,44.2,251.15214,-,320.058,-,1.244,0.532,-,62.434,79.149,0.614,0.0017579,-,-,-,-,1.47E-05,5.36E-04,1.38E-11,8.01202,4.34942,2.87E+02,1.92E-08,0.177997,8.41147,671.418,2.29283,3.30E+01,5.44E-06,1.21E-06
Griseofulvin,67.6,352.07137,15.9588,4.24E+02,1.56E-05,1.326,8.54E-01,4.09E-06,212.064,189.381,0.277,-,-,-,7.06E-06,-,3.97E-08,8.09E-05,2.70E-11,30.4787,7.89944,3.59E+02,1.51E-09,3.99903,10.4376,15448,2.18121,2.20E+02,1.37E-07,4.73E-05
Haloxyfop,66.5,361.03287,34.914,3.76E+02,8.19E-06,1.481,1.02E+00,5.33E-07,238.578,91.589,0.021,-,-,-,-,-,4.05E-08,7.57E-06,1.06E-11,4.96003,3.54539,3.22E+02,8.65E-09,0.807588,10.6127,751.863,3.99298,1.08E+02,3.55E-08,4.01E-05
Hexaflumuron,48,459.98162,63.2412,4.49E+02,3.14E-06,1.719,9.52E-01,8.28E-08,312.913,197.518,0.293,0.0017701,-,-,-,-,3.69E-09,7.46E-08,1.38E-11,61.1229,3.54695,2.54E+02,6.23E-12,0.468002,9.50887,708.103,5.67693,2.03E+02,4.39E-07,5.89E-08
Hexazinone,75.7,252.15863,5.98412,-,0.0003444,1.505,1.093,-,183.332,142.12,0.624,0.0074473,-,-,-,-,1.11E-07,7.73E-03,1.74E-11,2.41846,4.71849,3.17E+02,1.08E-06,0.260743,9.62421,53.7751,1.84923,1.16E+02,2.25E-07,0.130039
Hexythiazox,17.7,352.10123,41.4,-,5.12E-06,1.367,0.723,-,234.843,104.495,0.498,-,-,-,-,-,8.02E-09,4.47E-06,1.38E-11,144.804,35.0283,3.71E+02,5.01E-09,0.533748,10.3503,6153.81,2.90471,1.08E+02,2.56E-08,8.30E-07
Imazalil,71,296.04832,168.655,3.44E+02,7.03E-06,1.267,2.81E-01,6.53E-06,218.994,53.234,0.541,0.0028973,46.485,1.35E+02,8.53E-06,1.97E+01,3.14E-06,3.28E-04,5.75E-11,35.1016,3.35742,3.47E+02,1.32E-05,4.21194,9.83676,5334.19,3.81811,5.28E+01,1.20E-06,0.0006134
Imazamethabenz-methyl,69.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Imazamox,23.7,305.13756,1.35519,-,0.000171,1.263,0.952,-,262.831,191.631,0.648,0.0037154,-,-,-,-,3.35E-09,4.44E-03,1.67E-11,3.80997,3.3512,2.77E+02,6.48E-11,0.230238,9.20579,27.2745,0.730687,1.66E+02,9.63E-09,0.171009
Imazapyr,21,261.11134,1.93197,-,0.0004102,1.285,0.879,-,252.475,200.718,0.624,0.0046026,-,-,-,-,1.43E-08,4.35E-03,1.29E-11,3.38248,3.52197,2.76E+02,3.04E-10,0.250053,8.99866,99.8607,0.223712,1.71E+02,9.12E-10,0.0433379
Imazaquin,86.3,311.12699,3.4435,-,5.31E-05,1.305,0.945,-,279.215,222.92,0.56,0.011298,-,-,-,-,5.35E-10,4.51E-04,1.66E-11,2.88632,3.34957,2.89E+02,2.09E-10,0.227621,9.33619,19.9887,1.86053,2.21E+02,1.71E-10,0.0030137
Imidacloprid,82.6,255.0523,-,-,-,1.597,0.805,-,210.485,162.027,0.912,0.0012162,-,-,-,-,-,2.06E-03,1.31E-11,14.9739,3.54366,3.23E+02,1.93E-10,0.0983106,8.83353,114.092,0.573492,1.44E+02,4.36E-09,0.0023777
Indoxacarb,15.5,527.07071,36.7282,-,8.40E-08,1.618,1.10E+00,1.11E-07,314.755,163.757,0.589,0.0007798,-,-,-,-,9.00E-11,2.11E-06,2.08E-11,4.58268,5.69196,3.50E+02,2.16E-08,6.27325,11.6823,4317.56,4.64653,1.40E+02,2.36E-10,3.83E-07
Ioxynil,67.1,370.8304,73.1139,348.491,-,2.722,5.54E-01,4.00E-06,153.573,177.016,0.08,0.0004819,-,-,8.51E-06,35.4813,-,5.92E-04,3.57E-11,18.3303,6.20468,3.10E+02,1.33E-07,0.191839,9.15982,404.015,3.42964,2.13E+02,1.60E-05,0.0004359
Iprodione,84.2,329.0334,15.3815,4.29E+02,2.72E-05,1.447,1.17E+00,3.37E-05,263.481,195.458,0.085,0.0095719,-,-,-,1.29E+02,7.85E-10,6.81E-05,2.74E-11,336.935,3.35697,3.53E+02,3.12E-09,0.852228,10.3451,707.738,2.99839,1.36E+02,3.76E-09,4.00E-05
Irgarol,46.3,253.13612,23.3346,-,3.71E-05,1.222,7.14E-01,2.14E-05,199.589,116.08,0.675,0.0081283,-,-,-,-,3.30E-07,3.19E-04,1.61E-11,19.9365,3.18407,3.34E+02,2.23E-08,0.150699,9.2078,621.851,3.68008,9.64E+01,1.64E-06,0.0001474
Isocarbophos,25.6,289.05377,-,-,1.19E-07,-,0.663,-,-,-,-,0.0001807,-,-,-,-,-,-,1.72E-11,3.16575,3.33777,3.33E+02,3.58E-10,0.297835,10.5062,167.954,2.69977,7.91E+01,3.56E-06,0.0002398
Isoprocarb,59.5,193.11028,4.85288,2.70E+02,4.38E-06,1.045,8.94E-01,3.24E-05,126.971,72.343,0.575,0.0014928,-,-,0.0007889,20.5589,0.0001355,1.67E-03,1.51E-11,8.90531,4.49236,2.74E+02,1.69E-08,0.0563347,8.69133,55.0033,2.31367,9.36E+01,2.14E-05,0.0016925
Isoproturon,86.2,206.14191,11.0154,2.97E+02,5.74E-05,1.079,0.886,0.0001368,151.521,106.147,0.101,0.0007691,-,-,-,1.28E+01,3.51E-07,5.20E-04,1.20E-11,13.6791,4.34177,3.11E+02,1.47E-09,0.238612,9.80241,100.356,2.6855,1.58E+02,2.49E-08,0.0003143
Isoxaben,68.1,332.17361,37.9315,4.05E+02,1.08E-05,1.168,6.94E-01,1.88E-06,237.31,155.221,0.164,0.0011041,-,-,2.12E-05,-,1.49E-08,2.69E-05,1.75E-11,21.9371,4.30705,3.03E+02,3.22E-09,0.715843,10.5488,251.512,3.93986,1.77E+02,4.15E-09,3.73E-06
Karbutilate,93.6,279.15829,2.67917,3.58E+02,4.97E-06,1.136,8.06E-01,1.24E-05,197.91,127.073,0.473,0.0078705,-,-,-,4.74E+01,4.20E-09,5.68E-04,1.38E-11,15.4111,4.64126,2.75E+02,1.60E-10,0.466533,9.26774,116.223,3.54,1.63E+02,4.27E-08,0.0011787
Kresoxim methyl,79.4,313.13141,75.3356,-,2.44E-06,-,0.739,-,-,69.595,0.239,0.008356,42.614,-,-,-,3.03E-06,8.61E-05,1.38E-11,336.49,4.48826,3.64E+02,1.94E-08,0.349303,9.42617,1244.76,3.39857,9.89E+01,1.74E-08,6.39E-06
Lenacil,75.1,234.13683,4.90908,355.886,0.0001026,1.236,0.906,0.0001135,191.447,194.117,0.151,0.0150661,-,-,-,7.93E+01,4.28E-09,1.68E-04,1.79E-11,3.90244,3.94536,3.38E+02,5.31E-06,0.763918,9.18144,138.297,2.2332,3.16E+02,1.51E-09,2.60E-05
Linuron,57.4,248.01193,-,304.222,-,1.412,0.569,-,-,100.995,0.605,0.0056494,-,-,-,-,6.79E-07,8.30E-04,1.02E-11,17.9046,3.53073,3.23E+02,1.12E-09,0.107149,9.92762,499.316,3.19781,9.30E+01,1.45E-06,0.00029
Lufenuron,101.5,509.97842,39.5367,4.45E+02,2.55E-06,1.817,1.02E+00,3.27E-08,320.704,192.118,0.395,0.0010328,-,-,-,-,5.35E-09,2.07E-08,1.38E-11,147.175,3.54701,2.41E+02,1.15E-11,0.451724,9.50966,38782.3,5.11978,1.66E+02,2.30E-09,1.02E-07
Malaoxon,62.3,314.05891,2.47742,-,9.08E-08,1.252,4.27E-01,4.50E-05,184.108,-2.725,0.333,0.000471,-,-,-,-,1.25E-05,4.70E-02,7.72E-12,1.12398,5.76021,3.36E+02,8.57E-10,0.0915704,9.39855,227.413,1.72387,3.01E+01,9.83E-06,0.0240421
Malathion,68.5,330.03607,9.86279,2.84E+02,2.58E-08,1.263,3.78E-01,1.22E-05,174.441,-1.541,0.383,0.0010471,-,-,-,-,7.23E-06,7.60E-04,7.77E-12,33.0695,125.964,3.60E+02,4.88E-09,1.9412,9.61127,229.268,2.35864,2.83E+00,3.39E-06,0.0004394
Mecarbam,113.5,329.05205,4.50817,-,1.92E-08,1.276,4.07E-01,1.25E-05,210.891,30.437,0.314,0.000263,-,-,-,-,6.38E-07,2.98E-04,1.83E-11,17.7805,45.4694,3.30E+02,9.38E-10,0.442467,10.8824,255.768,2.42379,2.56E+01,1.26E-05,0.003012
Mefenacet,66.1,298.0776,20.4644,3.80E+02,2.70E-05,1.342,0.539,-,253.073,124.123,0.398,0.0025004,-,-,3.66E-05,9.71E+01,3.43E-08,1.09E-04,1.38E-11,17.3252,3.35264,3.71E+02,6.65E-09,0.645886,11.5209,1367,3.22944,1.35E+02,4.82E-09,1.35E-05
Metalaxyl,68.1,279.14706,17.1396,3.44E+02,4.76E-05,1.063,6.06E-01,3.00E-05,184.163,5.062,0.191,0.0090573,-,147.097,0.0002118,4.13E+01,5.47E-06,2.34E-03,2.16E-11,8.25493,4.28575,3.00E+02,3.92E-09,0.198614,9.83674,37.2169,1.65024,6.73E+01,5.57E-06,0.043674
Metamitron,68.7,202.08546,-,-,0.0001343,1.207,0.611,-,192.79,134.944,0.682,0.0034119,-,-,-,-,-,1.00E-02,7.45E-12,2.20557,3.34521,3.25E+02,2.52E-09,0.10487,7.71605,147.537,0.830546,1.67E+02,6.42E-09,0.0088183
Metazachlor,63.6,277.09819,35.3997,3.72E+02,5.69E-05,1.22,5.51E-01,1.51E-05,194.668,102.43,0.539,0.0030974,-,-,-,-,2.22E-07,3.13E-04,1.06E-11,41.1047,3.35856,3.32E+02,5.72E-10,0.181083,9.58903,151.02,2.13204,8.50E+01,4.51E-07,0.0016116
Methabenzthiazuron,62.2,221.06228,4.59198,3.65E+02,5.81E-05,1.333,0.702,-,191.527,131.826,0.193,0.002208,-,-,-,-,1.45E-06,2.94E-04,1.52E-11,3.73536,3.51431,3.17E+02,8.53E-10,0.0793006,10.7409,628.36,2.63741,1.20E+02,1.13E-07,0.0002696
Methamidophos,7.1,141.00134,-,-,3.16E-06,-,0.817,-,-,-,0.381,0.0001795,-,-,-,-,-,1.04E+00,3.22E-11,2.42868,4.85615,2.39E+02,2.55E-07,0.144161,6.35401,5.00138,-0.798736,4.61E+01,3.54E-05,4.12249
Methidathion,33.8,301.96186,11.8032,-,9.66E-08,1.426,0.378,-,175.103,29.83,0.815,0.0002014,-,-,-,-,4.50E-06,2.02E-03,1.71E-11,5.49502,140.576,3.30E+02,2.81E-10,0.0709979,9.4558,33.9475,2.19921,3.90E+01,3.37E-06,0.0006739
mercaptodimethur,24.6,225.08235,9.12011,2.94E+02,5.37E-06,1.179,7.42E-01,1.66E-05,160.371,105.453,0.769,0.000618,-,-,-,-,1.37E-05,5.31E-04,1.45E-11,34.1692,3.5316,2.91E+02,1.18E-09,0.0958216,9.5407,208.272,2.91751,1.20E+02,2.73E-07,0.0001017
Methomyl,67.1,162.0463,2.29615,2.05E+02,3.66E-06,1.125,0.501,0.0001585,111.117,58.029,0.871,0.0001683,-,-,-,-,0.0001384,2.42E-01,1.12E-11,3.54426,3.54663,2.30E+02,1.99E-08,0.113843,6.47551,20.1143,0.600496,7.80E+01,5.45E-06,0.346095
Methoxyfenozide,70.7,368.20999,56.7545,-,3.61E-06,1.098,7.70E-01,1.98E-06,236.138,200.296,-0.036,0.0094624,-,-,-,-,2.98E-08,1.33E-05,2.04E-11,74.4817,3.35393,3.29E+02,1.48E-09,0.705862,10.3986,1851.25,3.69869,2.04E+02,3.44E-08,4.91E-06
